global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
5115,32,0.4249586760997772,0.021022727712988853,0.01000195648521185,0.3668058216571808,0.08424842357635498,3.488969468889991e-06,2.289852091053035e-06
5116,32,0.4860641360282898,0.022585228085517883,0.009458787739276886,0.4313971698284149,0.10532107204198837,5.515925295185298e-06,5.0094135986000765e-06
5117,32,0.5226265788078308,0.005823863670229912,0.009671884588897228,0.4668467044830322,0.1129186749458313,4.477563834370812e-06,4.455427642824361e-06
5118,32,0.5194469690322876,0.005539772566407919,0.009682047180831432,0.46279796957969666,0.11016868054866791,5.7216234381485265e-06,6.607805971725611e-06
5119,32,0.49841758608818054,0.007528408896178007,0.00959225557744503,0.44164252281188965,0.10223478823900223,5.5529831115563866e-06,6.089258022257127e-06
5120,32,0.5240051746368408,0.006107954774051905,0.009747698903083801,0.4675333499908447,0.11270519345998764,4.6589484554715455e-06,4.4740068005921785e-06
5121,32,0.522405743598938,0.0031250000465661287,0.009849589318037033,0.4657556712627411,0.11045152693986893,5.653095740854042e-06,6.163735179143259e-06
5122,32,0.5288386344909668,0.0029829544946551323,0.010015766136348248,0.4723692238330841,0.11345043033361435,4.733435616799397e-06,5.106735898152692e-06
5123,32,0.5140181183815002,0.004119317978620529,0.009838884696364403,0.4567984938621521,0.1066923588514328,5.788347607449396e-06,6.6222314671904314e-06
5124,32,0.5183013081550598,0.002698863623663783,0.009808454662561417,0.4614562690258026,0.10837528109550476,4.566568350128364e-06,4.9430536819272675e-06
5125,32,0.5191051959991455,0.0032670453656464815,0.009813744574785233,0.461398184299469,0.1083560585975647,5.4905685828998685e-06,6.048845079931198e-06
5126,32,0.5205708146095276,0.0031250000465661287,0.009846086613833904,0.46393752098083496,0.10970775783061981,6.027363269822672e-06,6.487280643341364e-06
5127,32,0.5266695618629456,0.0011363636003807187,0.010009435936808586,0.4692942500114441,0.11127292364835739,4.4461776269599795e-06,4.889000138064148e-06
5128,32,0.5230495929718018,0.0012784090358763933,0.009919259697198868,0.4654710292816162,0.10945843905210495,4.539143446891103e-06,5.07208233102574e-06
5129,32,0.5172077417373657,0.0011363636003807187,0.009987354278564453,0.4603956341743469,0.1071067824959755,5.133929334988352e-06,5.413618964666966e-06
5130,32,0.5252438187599182,0.0008522727293893695,0.009953035041689873,0.46821823716163635,0.11071821302175522,5.093690106150461e-06,5.974366558803013e-06
5131,32,0.5198089480400085,0.0007102272938936949,0.00999252125620842,0.4625498354434967,0.10803699493408203,4.403965249366593e-06,4.499570877669612e-06
5132,32,0.5269899368286133,0.0007102272938936949,0.00998582225292921,0.4694075286388397,0.1112569123506546,4.405125764606055e-06,4.325042027630843e-06
5133,32,0.5203865170478821,0.000994318164885044,0.010109786875545979,0.46345269680023193,0.10858511179685593,4.307534254621714e-06,4.745873866340844e-06
5134,32,0.5060185790061951,0.0008522727293893695,0.00994849018752575,0.4488922953605652,0.10193009674549103,4.027452632726636e-06,3.247016820751014e-06
5135,32,0.5202421545982361,0.0008522727293893695,0.010092130862176418,0.4627819061279297,0.10827243328094482,3.6613971587939886e-06,4.454015197552508e-06
5136,32,0.5187747478485107,0.00042613636469468474,0.010010452009737492,0.4614713788032532,0.10745180398225784,4.266722044121707e-06,4.090515631105518e-06
5137,32,0.5247892737388611,0.00014204545004758984,0.010075612924993038,0.4680406451225281,0.1103702038526535,4.37753988080658e-06,4.968998382537393e-06
5138,32,0.5115818977355957,0.0,0.010281388647854328,0.4544820189476013,0.10429661720991135,3.3976186841755407e-06,3.3474973406555364e-06
5139,32,0.5121832489967346,0.0,0.010318001732230186,0.45455804467201233,0.10423750430345535,3.871846729452955e-06,3.744209379874519e-06
5140,32,0.5091829895973206,0.00014204545004758984,0.010344563983380795,0.45210662484169006,0.10322239249944687,3.496140152492444e-06,3.009205784110236e-06
5141,32,0.4840138256549835,0.0,0.010377908125519753,0.4267042577266693,0.09196695685386658,3.947460299968952e-06,3.932673735107528e-06
5142,32,0.49674898386001587,0.0,0.010379631072282791,0.43968865275382996,0.09752332419157028,3.5703387766261585e-06,3.245561856601853e-06
5143,32,0.4957275390625,0.00014204545004758984,0.010486510582268238,0.4390747845172882,0.09726320952177048,3.069827926083235e-06,2.91669016405649e-06
5144,32,0.5010186433792114,0.00014204545004758984,0.010512848384678364,0.44407081604003906,0.09955206513404846,2.6815778255695477e-06,2.291928694830858e-06
5145,32,0.48920100927352905,0.0,0.010493728332221508,0.4317086637020111,0.0942130759358406,2.819110704876948e-06,2.8566853416123195e-06
5146,32,0.4912481904029846,0.0,0.010469662956893444,0.43424180150032043,0.09507574886083603,2.754494289547438e-06,1.6759206573624397e-06
5147,8,0.4587402641773224,0.0,0.010763991624116898,0.4010823369026184,0.08146737515926361,2.5204187750205165e-06,1.9154940673615783e-06
