global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
19470,32,0.40237411856651306,0.03352272883057594,0.008177096955478191,0.2017493098974228,0.04010460153222084,1.2705710332738818e-06,4.570362079903134e-07
19471,32,0.5115802884101868,0.03281249850988388,0.007049696985632181,0.31825870275497437,0.058587055653333664,1.2529707191788475e-06,6.364380169543438e-07
19472,32,0.5266106724739075,0.014204545877873898,0.007239052560180426,0.32941439747810364,0.05849806219339371,1.4020845355844358e-06,6.112803134783462e-07
19473,32,0.5435921549797058,0.00909090880304575,0.007156312465667725,0.3469334542751312,0.06281150132417679,1.5594090427839546e-06,9.057513921106874e-07
19474,32,0.528215765953064,0.015482954680919647,0.0071522206999361515,0.33018407225608826,0.059096239507198334,1.4944641861802666e-06,8.09532025414228e-07
19475,32,0.5403208136558533,0.010795454494655132,0.007319041993469,0.34302818775177,0.061934079974889755,1.4648965134256287e-06,1.1211383252884843e-06
19476,32,0.5434338450431824,0.008522727526724339,0.007335241883993149,0.34642934799194336,0.06251445412635803,1.0358503459428903e-06,6.359602480188187e-07
19477,32,0.5452708005905151,0.004545454401522875,0.007351282052695751,0.34888508915901184,0.06250995397567749,1.4164559161145007e-06,7.461847530976229e-07
19478,32,0.5468581914901733,0.0072443182580173016,0.007345547433942556,0.34899139404296875,0.06308527290821075,1.1444536767157842e-06,8.089687639767362e-07
19479,32,0.5479848980903625,0.004119317978620529,0.007418530061841011,0.3496907353401184,0.06274532526731491,1.6915928426897153e-06,1.1054197557314183e-06
19480,32,0.5458162426948547,0.005397727247327566,0.007396829314529896,0.34887588024139404,0.06273753941059113,1.4977838418417377e-06,9.415851991434465e-07
19481,32,0.5465545654296875,0.005255681928247213,0.007417227141559124,0.3496643900871277,0.06302449852228165,1.3761439277004683e-06,8.076781909949204e-07
19482,32,0.5444223284721375,0.003409090917557478,0.007483439985662699,0.347154825925827,0.06160056218504906,1.0453745744598564e-06,6.769058131794736e-07
19483,32,0.5496841669082642,0.0029829544946551323,0.007445983123034239,0.3525608777999878,0.06323270499706268,1.034266347232915e-06,6.857860057607468e-07
19484,32,0.5441526174545288,0.0021306818816810846,0.0076056914404034615,0.3466900885105133,0.06100233271718025,1.3008808537051664e-06,7.270888886523608e-07
19485,32,0.5498176217079163,0.0018465908942744136,0.007595990784466267,0.35292989015579224,0.0631667897105217,8.366052952624159e-07,4.0201447859544714e-07
19486,32,0.5488227605819702,0.001988636329770088,0.007853055372834206,0.35119980573654175,0.06263868510723114,9.842781309998827e-07,5.652581762660702e-07
19487,32,0.554604709148407,0.000994318164885044,0.00776774762198329,0.35752832889556885,0.06458837538957596,6.045936515874928e-07,4.4468893634075357e-07
19488,32,0.5423905849456787,0.0022727272007614374,0.007782787084579468,0.34560906887054443,0.060787077993154526,3.961978336519678e-07,8.901273673700416e-08
19489,32,0.5509020090103149,0.002414772752672434,0.007686787750571966,0.3534119129180908,0.0634610578417778,1.1913122079931782e-06,5.881894935555465e-07
19490,32,0.5447964668273926,0.0012784090358763933,0.007879981771111488,0.3474588096141815,0.06111444905400276,9.966291827367968e-07,5.860177338945505e-07
19491,32,0.5461433529853821,0.0008522727293893695,0.00792720727622509,0.3488667607307434,0.061562251299619675,9.997878578360542e-07,4.982267114428396e-07
19492,32,0.5400390625,0.0008522727293893695,0.00815991498529911,0.34309256076812744,0.05958909913897514,7.149766929614998e-07,4.124685233364289e-07
19493,32,0.5355215668678284,0.0005681818001903594,0.00797253753989935,0.337776780128479,0.0576387457549572,1.2154469004599378e-06,5.972935355202935e-07
19494,32,0.5450003743171692,0.00042613636469468474,0.007925789803266525,0.3482048809528351,0.061289895325899124,8.839569431984273e-07,4.815499323740369e-07
19495,32,0.5392000079154968,0.00014204545004758984,0.008189207874238491,0.3415217995643616,0.05888678878545761,9.303047932007757e-07,5.257207931208541e-07
19496,32,0.5280542373657227,0.0002840909000951797,0.008305068127810955,0.3308735489845276,0.05533956363797188,1.3624356824948336e-06,7.663099381716165e-07
19497,32,0.5286170840263367,0.0002840909000951797,0.00831697415560484,0.33115020394325256,0.05545369163155556,3.9028046217026713e-07,1.9294583353257622e-07
19498,32,0.5295009016990662,0.0002840909000951797,0.008332350291311741,0.33158576488494873,0.05566179007291794,7.988017500792921e-07,5.230608621786814e-07
19499,32,0.49698662757873535,0.0002840909000951797,0.008584480732679367,0.2994742691516876,0.04580378159880638,6.41970245851553e-07,3.268029331593425e-07
19500,32,0.5114396214485168,0.0,0.008614219725131989,0.31363436579704285,0.04968981444835663,7.046352834549907e-07,2.791731219531357e-07
19501,32,0.5059272050857544,0.00014204545004758984,0.008602924644947052,0.3087221384048462,0.04830758646130562,7.436084956680133e-07,4.1640808490228665e-07
19502,8,0.5155550241470337,0.0,0.008788139559328556,0.3182778060436249,0.051190879195928574,7.534208634751849e-07,5.566720915339829e-07
