agent,ocs_mean,ocs_std,fcs_mean,fcs_std,cas_mean,cas_std,stability_mean,stability_std,msx_size_mean,msx_size_std
A2C_mod,0.375,0.13055824196677338,0.9530689964157705,0.029352251203938248,0.125,0.13055824196677338,70.9453405017921,25.063237464761812,3.0026881720430105,1.279238191890326
DQN,0.3125,0.11306675421666136,0.976646505376344,0.013620274327628528,0.0625,0.11306675421666136,77.16313844086021,24.490956789025454,2.0727486559139785,0.9805366987995225
