agent,scenario,component,w_label,lambda,mean_rdx,msx_inclusion
A2C_mod,MEDIUM,stockout,$w_s$ (service),1.5,0.0003616071463405311,0.031818181818181815
A2C_mod,MEDIUM,stockout,$w_s$ (service),2.0,0.0004821428617873748,0.031818181818181815
A2C_mod,MEDIUM,overstock,$w_h$ (holding),0.5,0.000695504311036754,0.022727272727272728
A2C_mod,MEDIUM,overstock,$w_h$ (holding),1.0,0.001391008622073508,0.03636363636363636
A2C_mod,MEDIUM,overstock,$w_h$ (holding),1.5,0.002086512933110262,0.08636363636363636
A2C_mod,MEDIUM,overstock,$w_h$ (holding),2.0,0.002782017244147016,0.12727272727272726
A2C_mod,MEDIUM,waste,$w_w$ (Waste),0.5,0.00022798193459245818,0.022727272727272728
A2C_mod,MEDIUM,waste,$w_w$ (Waste),1.0,0.00045596386918491635,0.022727272727272728
A2C_mod,MEDIUM,waste,$w_w$ (Waste),1.5,0.0006839458037773746,0.022727272727272728
A2C_mod,MEDIUM,waste,$w_w$ (Waste),2.0,0.0009119277383698327,0.022727272727272728
A2C_mod,MEDIUM,quantile,$w_o$ (order),0.5,0.003916629726072906,0.8954545454545455
A2C_mod,MEDIUM,quantile,$w_o$ (order),1.0,0.007833259452145813,0.9863636363636363
A2C_mod,MEDIUM,quantile,$w_o$ (order),1.5,0.011749889178218717,1.0
A2C_mod,MEDIUM,quantile,$w_o$ (order),2.0,0.015666518904291625,1.0
A2C_mod,HARD,stockout,$w_s$ (service),0.5,0.0024107143089368748,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),1.0,0.0048214286178737496,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),1.5,0.0072321429268106235,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),2.0,0.009642857235747499,0.2318181818181818
A2C_mod,HARD,overstock,$w_h$ (holding),0.5,0.0002602473578669808,0.03636363636363636
A2C_mod,HARD,overstock,$w_h$ (holding),1.0,0.0005204947157339616,0.03636363636363636
A2C_mod,HARD,overstock,$w_h$ (holding),1.5,0.0007807420736009425,0.03636363636363636
A2C_mod,HARD,overstock,$w_h$ (holding),2.0,0.0010409894314679232,0.03636363636363636
A2C_mod,HARD,waste,$w_w$ (Waste),0.5,0.00031944813325567766,0.013636363636363636
A2C_mod,HARD,waste,$w_w$ (Waste),1.0,0.0006388962665113553,0.013636363636363636
A2C_mod,HARD,waste,$w_w$ (Waste),1.5,0.0009583443997670327,0.013636363636363636
A2C_mod,HARD,waste,$w_w$ (Waste),2.0,0.0012777925330227106,0.013636363636363636
A2C_mod,HARD,quantile,$w_o$ (order),0.5,0.010825985559547141,1.0
A2C_mod,HARD,quantile,$w_o$ (order),1.0,0.021651971119094282,1.0
A2C_mod,HARD,quantile,$w_o$ (order),1.5,0.032477956678641395,1.0
A2C_mod,HARD,quantile,$w_o$ (order),2.0,0.043303942238188564,1.0
