global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
12507,32,0.42855438590049744,0.020170453935861588,0.01026915293186903,0.29576367139816284,0.05659861862659454,1.8215152977063553e-06,8.899389172256633e-07
12508,32,0.5087970495223999,0.022017044946551323,0.00958199705928564,0.38159075379371643,0.07952767610549927,1.4895890672050882e-06,1.0278536137775518e-06
12509,32,0.5363603234291077,0.006818181835114956,0.009922316297888756,0.4071374237537384,0.08587481826543808,1.972855898202397e-06,1.7740959492584807e-06
12510,32,0.5414918661117554,0.004687500186264515,0.010022778064012527,0.4120144248008728,0.08654382824897766,2.077636736430577e-06,1.9115609575237613e-06
12511,32,0.5283971428871155,0.006818181835114956,0.009847954846918583,0.3983441889286041,0.08218676596879959,1.9557958239602158e-06,1.435480271538836e-06
12512,32,0.5371671319007874,0.004687500186264515,0.010026320815086365,0.40809333324432373,0.0849081352353096,2.316117615919211e-06,2.0908839815092506e-06
12513,32,0.5456965565681458,0.0031250000465661287,0.010003703646361828,0.41599828004837036,0.08784805983304977,1.1554395769053372e-06,8.2244503119e-07
12514,32,0.5424944162368774,0.0018465908942744136,0.010100740008056164,0.41285020112991333,0.08626322448253632,1.8267700170326862e-06,1.4356614883581642e-06
12515,32,0.5314409732818604,0.0038352273404598236,0.010059270076453686,0.4011029601097107,0.08213431388139725,1.479915795243869e-06,1.176287128146214e-06
12516,32,0.5482131838798523,0.0018465908942744136,0.010150068439543247,0.41881123185157776,0.08865325152873993,1.3464381254379987e-06,9.824885864873067e-07
12517,32,0.5409137606620789,0.0025568180717527866,0.010172494687139988,0.411430299282074,0.08579891920089722,1.2647524272324517e-06,9.512417591395206e-07
12518,32,0.5410609841346741,0.0025568180717527866,0.010274438187479973,0.4115242660045624,0.08590668439865112,1.5468590390810277e-06,1.1921017630811548e-06
12519,32,0.5444574356079102,0.0012784090358763933,0.01037252601236105,0.41471418738365173,0.08696472644805908,1.9525709831214044e-06,2.159931227652123e-06
12520,32,0.5538620948791504,0.0014204545877873898,0.010309753939509392,0.4237770736217499,0.09072307497262955,1.2128726893934072e-06,8.599550369581266e-07
12521,32,0.5403222441673279,0.0008522727293893695,0.010368188843131065,0.410421222448349,0.0849926546216011,1.976188741537044e-06,1.6748682583056507e-06
12522,32,0.5453912019729614,0.000994318164885044,0.010499809868633747,0.4159294068813324,0.08726280927658081,1.768249035194458e-06,1.6073587403298006e-06
12523,32,0.5432180166244507,0.0002840909000951797,0.010468714870512486,0.4131873846054077,0.08605379611253738,1.038965592670138e-06,9.57417910285585e-07
12524,32,0.5457584857940674,0.0002840909000951797,0.010478894226253033,0.41628703474998474,0.087456613779068,1.3820208550896496e-06,1.1884774266945897e-06
12525,32,0.5385668873786926,0.0007102272938936949,0.010321284644305706,0.40859368443489075,0.08425348252058029,8.703519256414438e-07,9.611801488063065e-07
12526,32,0.5362721085548401,0.00042613636469468474,0.010636630468070507,0.4071449041366577,0.08359125256538391,1.8870857729780255e-06,1.7290561800109572e-06
12527,32,0.5308440923690796,0.00042613636469468474,0.01067607942968607,0.4007859528064728,0.08101259917020798,1.375778992951382e-06,9.476940476815798e-07
12528,32,0.5428915619850159,0.00014204545004758984,0.010381930507719517,0.4127610921859741,0.08581407368183136,1.5220705336105311e-06,1.233798684552312e-06
12529,32,0.547186017036438,0.0,0.01059789676219225,0.41790473461151123,0.08788274228572845,1.4215830788089079e-06,1.4354807262861868e-06
12530,32,0.531710684299469,0.0,0.010729334317147732,0.40188851952552795,0.08154390752315521,1.353204879706027e-06,1.1410922979848692e-06
12531,32,0.5437511205673218,0.00014204545004758984,0.010609865188598633,0.41361886262893677,0.08615156263113022,1.198329073304194e-06,9.903263844535104e-07
12532,32,0.5362021923065186,0.0,0.010654324665665627,0.40551722049713135,0.08279205113649368,6.976516715440084e-07,4.312106227644108e-07
12533,32,0.5054308176040649,0.0,0.010950072668492794,0.3756047785282135,0.07127784192562103,1.133590444624133e-06,9.319454079559364e-07
12534,32,0.5113374590873718,0.0,0.010866647586226463,0.38197067379951477,0.07354611158370972,1.2091159078408964e-06,1.124861682910705e-06
12535,32,0.5080780982971191,0.0,0.011012449860572815,0.3776264488697052,0.07200933247804642,8.982543704405543e-07,5.93855588704173e-07
12536,32,0.5064669251441956,0.0,0.011159369722008705,0.3765116333961487,0.07181783765554428,7.833746167307254e-07,8.239754833994084e-07
12537,32,0.5173755288124084,0.0,0.01094661932438612,0.3880186676979065,0.07601276785135269,1.439334937458625e-06,1.2739794783556135e-06
12538,32,0.5077285766601562,0.0,0.011114738881587982,0.37818124890327454,0.07221177965402603,1.3331368791114073e-06,1.1821294947367278e-06
12539,8,0.4893924295902252,0.0,0.011447027325630188,0.3580061197280884,0.06468923389911652,1.9350857201061444e-06,2.0146840142842848e-06
