Scenario,Agent,Config,OCS_mean,OCS_std,FCS_mean,FCS_std,CAS_mean,CAS_std,Stability_mean,Stability_std,MSX_size_mean,MSX_size_std
EASY,DQN,Combined,0.25,0.0,0.9835349462365591,0.012275903905752887,0.0,0.0,68.75,37.5,2.0,1.4142135623730951
EASY,A2C_mod,Combined,0.25,0.0,0.9569892473118279,0.031877798993632855,0.0,0.0,71.16935483870968,27.84594624293476,3.008064516129032,1.414305534770186
MEDIUM,DQN,Combined,0.3125,0.125,0.9667338709677419,0.016030726400371745,0.0625,0.125,82.08585349462365,17.720621033311097,1.8916330645161292,0.7131976304690446
MEDIUM,A2C_mod,Combined,0.375,0.14433756729740643,0.947244623655914,0.02916749251428144,0.125,0.14433756729740643,70.83333333333333,27.63853991962834,3.0,1.4142135623730951
HARD,DQN,Combined,0.375,0.14433756729740643,0.9796706989247311,0.008127275955946103,0.125,0.14433756729740643,80.65356182795699,18.332821841850247,2.3266129032258065,0.9380569798805407
HARD,A2C_mod,Combined,0.5,0.0,0.95497311827957,0.0349505442616596,0.25,0.0,70.83333333333333,27.63853991962834,3.0,1.4142135623730951
