agent,scenario,component,w_label,lambda,mean_rdx,msx_inclusion
A2C_mod,MEDIUM,stockout,$w_s$ (service),1.5,0.0002410714308936874,0.013636363636363636
A2C_mod,MEDIUM,stockout,$w_s$ (service),2.0,0.0003214285745249166,0.013636363636363636
A2C_mod,MEDIUM,overstock,$w_h$ (holding),0.5,0.0006886566614175771,0.013636363636363636
A2C_mod,MEDIUM,overstock,$w_h$ (holding),1.0,0.0013773133228351542,0.031818181818181815
A2C_mod,MEDIUM,overstock,$w_h$ (holding),1.5,0.0020659699842527314,0.1
A2C_mod,MEDIUM,overstock,$w_h$ (holding),2.0,0.0027546266456703085,0.12272727272727273
A2C_mod,MEDIUM,waste,$w_w$ (Waste),0.5,0.0002306265631300648,0.00909090909090909
A2C_mod,MEDIUM,waste,$w_w$ (Waste),1.0,0.0004612531262601296,0.00909090909090909
A2C_mod,MEDIUM,waste,$w_w$ (Waste),1.5,0.0006918796893901945,0.00909090909090909
A2C_mod,MEDIUM,waste,$w_w$ (Waste),2.0,0.0009225062525202592,0.00909090909090909
A2C_mod,MEDIUM,quantile,$w_o$ (order),0.5,0.0035187590307635187,0.8909090909090909
A2C_mod,MEDIUM,quantile,$w_o$ (order),1.0,0.007037518061527037,0.9818181818181818
A2C_mod,MEDIUM,quantile,$w_o$ (order),1.5,0.01055627709229055,1.0
A2C_mod,MEDIUM,quantile,$w_o$ (order),2.0,0.014075036123054075,1.0
A2C_mod,HARD,stockout,$w_s$ (service),0.5,0.0024508928807524893,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),1.0,0.0049017857615049785,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),1.5,0.007352678642257466,0.2318181818181818
A2C_mod,HARD,stockout,$w_s$ (service),2.0,0.009803571523009957,0.2318181818181818
A2C_mod,HARD,overstock,$w_h$ (holding),0.5,0.0002375248722828828,0.01818181818181818
A2C_mod,HARD,overstock,$w_h$ (holding),1.0,0.0004750497445657656,0.01818181818181818
A2C_mod,HARD,overstock,$w_h$ (holding),1.5,0.0007125746168486483,0.01818181818181818
A2C_mod,HARD,overstock,$w_h$ (holding),2.0,0.0009500994891315312,0.01818181818181818
A2C_mod,HARD,waste,$w_w$ (Waste),0.5,0.00034432006181195785,0.00909090909090909
A2C_mod,HARD,waste,$w_w$ (Waste),1.0,0.0006886401236239157,0.00909090909090909
A2C_mod,HARD,waste,$w_w$ (Waste),1.5,0.0010329601854358738,0.00909090909090909
A2C_mod,HARD,waste,$w_w$ (Waste),2.0,0.0013772802472478314,0.00909090909090909
A2C_mod,HARD,quantile,$w_o$ (order),0.5,0.01006094177916696,1.0
A2C_mod,HARD,quantile,$w_o$ (order),1.0,0.02012188355833392,1.0
A2C_mod,HARD,quantile,$w_o$ (order),1.5,0.030182825337500885,1.0
A2C_mod,HARD,quantile,$w_o$ (order),2.0,0.04024376711666784,1.0
